"company_name","credit","seasearcher_id","country","country_code"
"PLEIADES SHIPPING AGENTS S.","250000","45579","Greece","GRC"
"PLUTOFYLAX SHIPPING","250000","165709","Greece","GRC"
"POLEMBROS SHIPPING LTD","1000000","12999","Greece","GRC"
"Product Shipping and Trading","500000","","Greece","GRC"
"Pyxis Maritime Corp","300000","260475","Greece","GRC"
"Roxana Shipping SA","5000000","73165","Greece","GRC"
"Samos Steamship","6000000","39977","Greece","GRC"
"SAMOS STEAMSHIP COMPANY","1000000","39977","Greece","GRC"
"Sea Traders SA","7000000","13997","Greece","GRC"
"Sea World Management Trading Inc","1050000","14769","Greece","GRC"
"SEAMAX MARINE INC","200000","651753","Greece","GRC"
"SeaWorld Management & Trading Inc","800000","","Greece","GRC"
"Signal Maritime Aframax Pool Ltd","500000","531301","Greece","GRC"
"SIGNAL MARITIME LTD","500000","476094","Greece","GRC"
"SPRING MARINE MANAGEMENT","150000","471838","Greece","GRC"
"STAR BULK MANAGEMENT INC","1500000","283098","Greece","GRC"
"STARBULK S.A.","1500000","265756","Greece","GRC"
"STEALTH MARITIME CORP. S.A.","400000","131552","Greece","GRC"
"Super-Eco Tankers Management","500000","69224","Greece","GRC"
"Swissmarine Corp. Ltd.","10000000","82751","Greece","GRC"
"Target Marine SA","1000000","638637","Greece","GRC"
"TEAM FUEL CORP","100000","128525","Greece","GRC"
"Technomar Shipping Inc.","450000","72708","Greece","GRC"
"Thenamaris (Ships Management)","2200000","3179","Greece","GRC"
"TMS BULKERS LTD","500000","43057","Greece","GRC"
"TMS Tankers Ltd","12000000","43057","Greece","GRC"
"TRADE FORTUNE INC.","150000","16267","Greece","GRC"
"Transmed Shipping Ltd.","1000000","17083","Greece","GRC"
"TRI BULK SHIPPING LTD","500000","462784","Greece","GRC"
"TSAKOS ENERGY NAVIGATION","500000","66731","Greece","GRC"
"UNIMAR SUCCESS SA","600000","279985","Greece","GRC"
"Victoria Oceanway Ltd","30000","263850","Greece","GRC"
